scheme_id,scheme_name,description,jurisdiction_type,state_code,category,annual_income_limit,occupations,social_categories,gender,age_min,age_max,is_portable,portability_type,source_dataset,source_file
CENTRAL_NA_capital_investment_subsidy_information_technology_it_information_technology_enabled_services_ites_industries_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries,"""Capital Investment Subsidy: Information Technology (IT) / Information Technology Enabled Services (ITES) Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""","The ""Capital Investment Subsidy: Information Technology (IT) / Information Technology Enabled Services (ITES) Industries"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Department of Industrial Development (Industries and Commerce), Union Territory of Puducherry. The new IT/ITES industrial unit which started production on or after 6-11-2002 are provided with subsidy on the investments made on plant and machinery @ 20% thereon subject to a maximum of ₹20,00,000/- for the large, medium, small and micro enterprises during the period of operation of the scheme. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_capital_investment_subsidy_physically_handicapped_persons_ex_servicemen_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries,"""Capital Investment Subsidy: Physically Handicapped Persons/ Ex-Servicemen"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""","The ""Capital Investment Subsidy: Physically Handicapped Persons/ Ex-Servicemen"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Department of Industrial Development (Industries and Commerce), Union Territory of Puducherry. Through this scheme, the new industrial units which started production on or after 5th August 2009 by physically handicapped entrepreneurs and Ex-Servicemen for the investments made on land, building and plant and machinery are eligible for capital investment subsidy at the rate of 25% thereon subject to a maximum of ₹25,00,000/- for the micro and small manufacturing enterprises.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_capital_investment_subsidy_sc_st_women_entrepreneurs_component_of_the_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries_scheme,"""Capital Investment Subsidy: SC/ST/Women Entrepreneurs"" Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme","The ""Capital Investment Subsidy: SC/ST/Women Entrepreneurs"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Department of Industrial Development (Industries and Commerce), Union Territory of Puducherry. The department extends subsidies for the investments made on land, buildings, plants & machinery @ 25% by the Scheduled Caste/ Scheduled Tribe/ Women Entrepreneurs. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_conducting_of_exhibitions_component_of_the_development_of_coir_scheme,"""Conducting of Exhibitions"" Component of the ""Development of Coir"" Scheme","The ""Conducting of Exhibitions"" Component of the ""Development of Coir"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to enhance awareness of diverse coir products and promote their market presence. It extends financial support, including a daily allowance of ₹150 per participant and travel reimbursements, to both local and outstation participants. The initiative emphasizes the eco-friendly nature of coir products.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_conversion_modernisation_of_mechanised_fishing_boats_for_deep_sea_fishing_under_financial_assistance_for_availing_subsidy_components_for_the_development_of_marine_fisheries,"""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" is a Sub-Component under the Umbrella Scheme ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" by the Department of Fisheries and Fishermen Welfare, Government of Puducherry. The scheme is introduced with the objective of increasing marine fish production by extending financial grants for the conversion/modernization of mechanized boats for deep-sea fishing.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_design_development_training_for_master_crafts_persons_component_of_the_development_of_handicrafts_scheme,"""Design Development Training For Master Crafts Persons"" Component of the ""Development of Handicrafts"" Scheme","The ""Design Development Training For Master Crafts Persons"" Component of the ""Development of Handicrafts"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry aims to enhance the skills of craftspersons in moulding and designing their traditional crafts. The objective is to make these crafts more appealing to customers and increase marketability. The training is expected to have a significant impact on the development of modern art and techniques in crafts, potentially introducing new crafts from other regions.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_employment_incentive_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries_various_incentives,"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""","""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives"" is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The scheme came into force with effect from 1st April 2017 and is in operation in the whole of the UT of Puducherry. Through this scheme, Wage/Employment subsidy of 20% wage/salary up to a maximum of ₹5,00,000/- per annum, in case of workers who are covered under Provident Fund (PF), will be granted. The applications are accepted offline in the prescribed form available on the Official Website of the Department. ﻿ ﻿",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_employment_incentive_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries,"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""","The ""Employment Incentive"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Industries and Commerce Department, Union Territory of Puducherry. Through this scheme, a Wage/Employment subsidy of 20% of wage/ salary up to a maximum of ₹5,00,000/- per annum is provided in the case of workers who are covered under the Provident Fund (PF). The new units which commence production on or after 2-8-2004 would alone be eligible for this incentive for 5 years from the date of commencement of production. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_entrepreneureship_development_programme_edp_component_of_the_development_of_industries_scheme,"""Entrepreneureship Development Programme (EDP)"" Component of the ""Development of Industries"" Scheme","The scheme ""Entrepreneureship Development Programme (EDP)"" by the District Industries Centre, Department of Industries and Commerce, Union Territory of Puducherry aims to to develop entrepreneurship skills by providing training for setting up of the projects. The programmes contains motivating the prospective entrepreneurs, highlight respective projects, the course of actions to taken by them for setting up and successful running their unit.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_entrepreneurship_development_programme_component_of_the_development_of_coir_scheme,"""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme","The ""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to provide Entrepreneurship training, to encourage prospective entrepreneurs to start the coir industry. Awareness programmes will also be arranged for the existing coir industries about the modern technology and scheme, and incentives available under the State Grant.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_exhibition_component_of_the_development_of_handicrafts_scheme,"""Exhibition"" Component of the ""Development Of Handicrafts"" Scheme","The ""Exhibition"" component of the ""Development Of Handicrafts"" scheme by the Department of Industries and Commerce, Government of Puducherry, was introduced to boost the marketability of handicrafts and enhance sales through the organization of exhibitions. These exhibitions are conducted locally and in various states of the country.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_financial_grant_for_reactivation_of_mechanised_boats_under_financial_assistance_for_availing_subsidy_components_for_the_development_of_marine_fisheries,"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Financial Grant for Reactivation of Mechanised Boats"" is a Sub-Component under the Umbrella Scheme ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" by the Department of Fisheries and Fishermen Welfare, Government of Puducherry. The scheme is introduced with the objective of increasing marine fish production by extending financial grants for the reactivation of wooden/steel mechanized boats.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_fishing_ban_period_assistance_under_welfare_and_relief_for_fishermen_during_lean_seasons_and_natural_calamities_scheme,"""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""","The scheme ""Fishing Ban Period Assistance"" is a Sub-Component under the scheme ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"". The scheme is extended to all the regions of the Union territory of Puducherry. The scheme is introduced with the objective to assist fishermen families who are deprived of income during natural calamities and fishing ban periods, and to conserve the fishery wealth in sea during breeding season.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_generator_subsidy_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries_various_incentives,"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""","""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives"" is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The scheme came into force with effect from 1st April 2017 and is in operation in the whole of the UT of Puducherry. Through this scheme, 50% subsidy is provided to the industrial units of the micro, small, medium and large industries for the purchase and installation of generators. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_generator_subsidy_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries,"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""","The ""Generator Subsidy"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Industries and Commerce Department, Union Territory of Puducherry. Through this scheme, the micro, small and medium industrial units (manufacturing and service sector) shall be eligible for the grant of 50% subsidy with a cap of ₹5,00,000/- per industrial unit on the investment made on or after 5-3-2009 on generator sets. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_grant_to_handicrafts_societies_component_of_the_development_of_handicrafts_scheme,"""Grant To Handicrafts Societies"" Component of the ""Development of Handicrafts"" Scheme","The scheme “Grant To Handicrafts Societies” Component of the ""Development of Handicrafts"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry aims to encourage the creation of Handicrafts Societies to enhance coordination and skill among craftspeople. Grants are provided to registered societies, either as a Cooperative society or under the Societies Act, for organizing or participating in exhibitions, thereby fostering the marketing of handicraft products.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_grant_of_margin_money_for_availing_capital_loan_component_of_the_development_of_coir_scheme,"""Grant of Margin Money for Availing Capital Loan"" Component of the ""Development of Coir"" Scheme","The ""Grant of Margin Money for Availing Capital Loan"" Component of the ""Development of Coir"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to incentivize entrepreneurs to establish new coir industries or revitalise existing ones. Eligible units must be set up in the Union Territory of Puducherry. The scheme provides margin money upon receipt of a financial institution's sanction order for a project.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_grant_of_margin_money_for_availing_the_capital_loan_component_of_the_development_of_silk_scheme,"""Grant of Margin Money for Availing the Capital Loan"" Component of the ""Development of Silk"" Scheme","The ""Grant of Margin Money for Availing the Capital Loan"" Component of the ""Development of Silk"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to encourage the entrepreneur to set up Silk Weaving Units in Puducherry. This margin money grants will reduce the initial financial burden on the entrepreneurs while availing term loan/working capital loan from the financial institutions for setting up of silk weaving units.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_grant_to_coir_cluster_societies_agency_component_of_the_development_of_coir_scheme,"""Grant to Coir Cluster/Societies/Agency"" Component of the ""Development of Coir"" Scheme","The ""Grant to Coir Cluster/Societies/Agency"" Component of the ""Development of Coir"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to foster the development of coir industries. The scheme encourages unemployed rural youth and artisan individuals to participate in the manufacturing and sales of coir products.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_grant_to_silk_societies_agency_component_of_the_development_of_silk_scheme,"""Grant to Silk Societies/Agency"" Component of the ""Development of Silk"" Scheme","The ""Grant to Silk Societies/Agency"" Component of the ""Development of Silk"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to encourage the silk weaving artisans to form registered societies/agencies to develop a cluster approach among the artisans which is effective and advisable at present for the successful development of their business.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_grant_to_subsidy_for_raw_materials_procurement_component_of_the_development_of_coir_scheme,"""Grant to Subsidy for Raw Materials Procurement"" Component of the ""Development of Coir"" Scheme","The ""Grant to Subsidy for Raw Materials Procurement"" Component of the ""Development of Coir"" Scheme by the Department of Industries and Commerce, Union Territory of Puducherry, aims to promote Coir Industries by providing a 15% subsidy on annual raw materials procurement, capped at ₹5,00,000 per annum per unit.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_green_and_eco_friendly_measures_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries_state_awards_to_micro_small_and_medium_enterprises,"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”","""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises” is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The award is conferred upon the industries that are green and eco-friendly as per the standards of the Department of Science, Technology and Environment (DSTE), Puducherry. The awardee is given a cash award of ₹2,00,000/- and a citation. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_immediate_death_relief_assistance_under_welfare_and_relief_for_fishermen_during_lean_seasons_and_natural_calamities_scheme,"""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""","The scheme ""Immediate Death Relief Assistance"" is a Sub-Component under the scheme ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"". The scheme is extended to all the regions of the Union territory of Puducherry. The scheme is introduced with the objective of extending financial assistance to the fishermen's families to compensate for the loss due to the sudden demise of the breadwinner and to support them financially to run their family.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_immediate_relief_assistance_under_welfare_and_relief_for_fishermen_during_lean_seasons_and_natural_calamities_scheme,"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""","The scheme ""Immediate Relief Assistance"" is a Sub-Component under the scheme ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"". The scheme is extended to all the regions of the Union territory of Puducherry. The scheme is introduced with the objective of extending financial assistance to the fishermen's families to compensate for the loss due to the missing breadwinner and to support them financially to run their family.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_in_plant_training_component_of_the_development_of_industries_scheme,"""In-Plant Training"" Component of the ""Development of Industries"" Scheme","The ""In-Plant Training"" component of the ""Development of Industries"" scheme by the District Industries Centre, Department of Industries and Commerce, UT of Puducherry was introduced to create employment opportunities and motivate entrepreneurship among the educated unemployed youth. Through this scheme, training is imparted to the educated unemployed youth at various industrial establishments in a real-time environment. The trainees acquire the skill by observing, assisting and learning the job on their own in the plant itself. The training makes them acquire better skills in the trade to start either their self-ventures or to get employment in established industries. The training is imparted for one year with a monthly stipend at rates based on educational qualification.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_infrastructure_development_subsidy_for_it_ites_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_capital_intensive_industries,"""Infrastructure Development Subsidy (For IT/ITES)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""","""Infrastructure Development Subsidy (For IT/ITES)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries"" is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The scheme came into force with effect from 1st April 2017 and is in operation in the whole of the UT of Puducherry. Through this scheme, 30% Subsidy subject to a maximum of ₹1,00,00,000/- will be granted on the investment made on building with a minimum extent of 50,000 sq.ft. constructed area, by the infrastructure developers/industries for leasing out to Information Technology industries or for own industrial use. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_infrastructure_subsidy_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries,"""Infrastructure Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""","The ""Infrastructure Subsidy"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Industries and Commerce Department, Union Territory of Puducherry. 25% subsidy is provided to the industrial units who have made investments on building with a minimum extent of 50,000 sq. ft. constructed area. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_innovation_in_technology_product_or_process_under_motivation_of_entrepreneurs_to_start_industries_and_fiscal_assistance_to_industries_state_awards_to_micro_small_and_medium_enterprises,"""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”","""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises” is a scheme by the Industries and Commerce Department, Union Territory of Puducherry. The award is conferred upon the industrial units who have patented their technology innovation. The scheme is formulated under the New Industrial Policy 2016, introduced on 4th October 2016. The scheme is in operation in the UT of Puducherry. The applications are accepted offline in the prescribed form available on the Official Website of the Department.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_input_assistance_to_farmers_for_taking_up_fish_farming_in_farm_ponds_component_of_the_mukhyamantri_maschyajibi_kalyan_yojana_scheme,"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme","The ""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme was launched by the Fisheries & Animal Resources Development Department, Government of Odisha. The objective of this scheme is to increase the inland fish production, and to enhance the income of farmers in the State though aquaculture. Input assistance is provided to the farmers who have excavated farm ponds under MGNREGA for facilitating the production of fingerling and fish. The scheme is implemented by the Directorate of Fisheries through its field functionaries in Odisha.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
CENTRAL_NA_integrated_farming_for_productivity_improvement_scheme_by_the_coconut_development_board,"""Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board","The scheme “Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board was launched by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Through this scheme, the coconut farmers are provided financial assistance through DBT (Direct Benefit Transfer) mode for the Laying of the Demonstration Plot, and for the Construction of the Organic Manure Unit.",CENTRAL,,,,,,,0,200,True,FULLY_PORTABLE,jainamgada_schemes,updated_data.csv
